Region,Year,Happiness Score
Africa,2015,4.591830508474576
Africa,2016,4.538035714285714
Africa,2017,4.539862065448276
Africa,2018,4.535
Africa,2019,4.58848275862069
Asia,2015,5.167272727272728
Asia,2016,5.169909090909091
Asia,2017,5.17079998245
Asia,2018,5.1854545454545455
Asia,2019,5.149272727272727
Europe,2015,5.891549019607843
Europe,2016,5.912509803921568
Europe,2017,5.944431379784314
Europe,2018,6.006960784313726
Europe,2019,6.085156862745098
North America,2015,7.273
North America,2016,7.254
North America,2017,7.154500008
North America,2018,7.107
North America,2019,7.085
Oceania,2015,7.285
Oceania,2016,7.323499999999999
Oceania,2017,7.299000025
Oceania,2018,7.298
Oceania,2019,7.2675
South America,2015,6.144681818181818
South America,2016,6.10175
South America,2017,5.957818193863637
South America,2018,5.950136363636363
South America,2019,5.954428571428572
